RESOURCE	[FILL] is/are	QUALIFIER	[FILL] a/the	REWABLE/NONRENEWABLE	[FILL] resource	[FILL] for	FOR/PURPOSE	[FILL] by/through	BY/THROUGH/HOW	SCOPE	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
soil	is		a	renewable	resource	for	growing plants							1af4-c273-5b80-34e6	
water	is		a	renewable	resource									df02-656d-260a-04d5	
metal	is		a	nonrenewable	resource									9e1f-a1a8-643b-0b8c	
alternative fuel	is	usually	a	renewable	resource									2146-8319-8af6-a8e3	
plastic	is		a	nonrenewable	resource									06f5-8cbc-7ae5-111f	
wind; wind energy	is		an	inexhaustible	resource								SW 0da1-2296-dfe8-6873	8aa2-0c1b-b931-8897	
fossil fuels	are		a	nonrenewable	resource									0b4c-355e-1cca-d698	
aluminum	is		a	nonrenewable	resource									982b-08d3-f40e-289f	
coal	is		a	nonrenewable	resource									77f9-749f-9394-ae34	
natural gas	is		a	nonrenewable	resource									4cbb-5f96-4d29-b4f5	
oil	is		a	nonrenewable	resource									8c18-c36b-a89a-60ec	
solar energy	is		an	inexhaustible	resource								SW f5c3-d141-1a8b-80c9	24ed-15e8-f3ce-62a2	
solar energy	is		a	renewable; inexhaustible	resource									f5c3-d141-1a8b-80c9	
trees	are		a	renewable	resource									27d4-eb24-0630-19ed	
wind; wind energy	is		a	renewable; inexhaustible	resource									0da1-2296-dfe8-6873	
wood	is		a	renewable	resource									55b1-a769-b2b4-d023	
biomass	is		a	renewable	resource									4567-015f-debe-b7f4	
tidal energy	is		a	renewable	resource									9d65-2cd1-cfde-9967	
vegetable oil	is		a	renewable	resource									7d8a-10b3-8aaa-c02d	
wave energy	is		a	renewable	resource									be42-bfb1-ed75-4dbf	
geothermal energy	is		a	renewable	resource									3dd5-171b-5cd8-bf0d	
minerals	are		a	nonrenewable	resource									8d24-c370-d9f6-efec	
animals	are		a	renewable	resource									2c3f-03b0-b87f-c09a	
hydroelectric power	is		a	renewable	resource									ee9c-1f5d-0cf9-67c9	
groundwater	is		a 	nonrenewable	resource									45a4-97a7-5902-490d	
chemical energy	is	usually	a	nonrenewable	resource									e094-f38a-c2c7-8407	
